START TRANSACTION;
auto commit mode: off
select
	p_brand,
	p_type,
	p_size,
	count(distinct ps_suppkey) as supplier_cnt
from
	partsupp,
	part
where
	p_partkey = ps_partkey
	and p_brand <> 'Brand#31'
	and p_type not like 'LARGE POLISHED%'
	and p_size in (43, 33, 46, 18, 9, 32, 29, 48)
	and ps_suppkey not in (
		select
			s_suppkey
		from
			supplier
		where
			s_comment like '%Customer%Complaints%'
	)
group by
	p_brand,
	p_type,
	p_size
order by
	supplier_cnt desc,
	p_brand,
	p_type,
	p_size;
+------------+---------------------------+--------+--------------+
| p_brand    | p_type                    | p_size | supplier_cnt |
| Brand#21   | LARGE BURNISHED TIN       |     18 |          555 |
| Brand#32   | LARGE BRUSHED NICKEL      |     33 |          555 |
| Brand#35   | STANDARD POLISHED NICKEL  |     33 |          555 |
| Brand#53   | LARGE PLATED COPPER       |     43 |          555 |
| Brand#22   | ECONOMY POLISHED STEEL    |     46 |          552 |
| Brand#23   | ECONOMY POLISHED NICKEL   |     43 |          552 |
| Brand#34   | ECONOMY BRUSHED COPPER    |     29 |          552 |
| Brand#34   | ECONOMY BURNISHED COPPER  |      9 |          552 |
| Brand#43   | STANDARD BRUSHED TIN      |     32 |          552 |
| Brand#45   | MEDIUM POLISHED TIN       |     18 |          552 |
| Brand#54   | SMALL POLISHED TIN        |     29 |          552 |
| Brand#35   | LARGE BRUSHED STEEL       |     33 |          551 |
| Brand#35   | STANDARD PLATED TIN       |     33 |          550 |
| Brand#41   | PROMO BRUSHED COPPER      |      9 |          550 |
| Brand#11   | ECONOMY PLATED STEEL      |     43 |          548 |
| Brand#12   | LARGE PLATED BRASS        |      9 |          548 |
| Brand#13   | LARGE BRUSHED BRASS       |      9 |          548 |
| Brand#21   | PROMO BRUSHED STEEL       |     18 |          548 |
| Brand#23   | STANDARD BRUSHED TIN      |     43 |          548 |
| Brand#25   | SMALL BRUSHED TIN         |      9 |          548 |
| Brand#33   | PROMO BURNISHED TIN       |     32 |          548 |
| Brand#34   | MEDIUM BRUSHED COPPER     |      9 |          548 |
| Brand#35   | ECONOMY BURNISHED COPPER  |     43 |          548 |
| Brand#41   | MEDIUM POLISHED BRASS     |     29 |          548 |
| Brand#41   | SMALL BURNISHED COPPER    |      9 |          548 |
| Brand#41   | STANDARD BRUSHED TIN      |     33 |          548 |
| Brand#43   | PROMO POLISHED TIN        |     33 |          548 |
| Brand#45   | MEDIUM PLATED STEEL       |     46 |          548 |
| Brand#52   | STANDARD PLATED NICKEL    |      9 |          548 |
| Brand#55   | PROMO ANODIZED NICKEL     |     29 |          548 |
| Brand#12   | SMALL ANODIZED TIN        |     43 |          547 |
| Brand#13   | MEDIUM PLATED BRASS       |      9 |          547 |
| Brand#14   | PROMO BURNISHED TIN       |     46 |          547 |
| Brand#44   | PROMO BRUSHED NICKEL      |      9 |          547 |
| Brand#53   | LARGE PLATED STEEL        |     33 |          547 |
| Brand#53   | STANDARD PLATED TIN       |     18 |          547 |
| Brand#54   | MEDIUM BRUSHED BRASS      |     18 |          547 |
| Brand#55   | PROMO BRUSHED BRASS       |     48 |          547 |
| Brand#45   | PROMO ANODIZED NICKEL     |     18 |          546 |
| Brand#11   | ECONOMY PLATED TIN        |     48 |          544 |
| Brand#12   | STANDARD ANODIZED NICKEL  |     32 |          544 |
| Brand#13   | SMALL POLISHED STEEL      |     46 |          544 |
| Brand#14   | PROMO POLISHED NICKEL     |     46 |          544 |
| Brand#14   | STANDARD PLATED TIN       |     18 |          544 |
| Brand#21   | PROMO POLISHED BRASS      |     18 |          544 |
| Brand#21   | SMALL ANODIZED TIN        |     46 |          544 |
| Brand#22   | ECONOMY BRUSHED BRASS     |     46 |          544 |
| Brand#25   | LARGE BRUSHED BRASS       |      9 |          544 |
| Brand#32   | MEDIUM BRUSHED NICKEL     |     18 |          544 |
| Brand#42   | LARGE PLATED STEEL        |     18 |          544 |
| Brand#44   | ECONOMY BURNISHED NICKEL  |     43 |          544 |
| Brand#44   | STANDARD BRUSHED COPPER   |     46 |          544 |
| Brand#45   | ECONOMY POLISHED STEEL    |     32 |          544 |
| Brand#45   | LARGE BURNISHED STEEL     |     32 |          544 |
| Brand#51   | SMALL BRUSHED STEEL       |     33 |          544 |
| Brand#52   | LARGE BURNISHED BRASS     |     33 |          544 |
| Brand#13   | STANDARD PLATED BRASS     |     32 |          543 |
| Brand#15   | PROMO ANODIZED NICKEL     |     29 |          543 |
| Brand#24   | MEDIUM BRUSHED BRASS      |     29 |          543 |
| Brand#35   | ECONOMY BURNISHED COPPER  |     33 |          542 |
| Brand#13   | LARGE BURNISHED BRASS     |     18 |          540 |
| Brand#13   | SMALL PLATED STEEL        |     43 |          540 |
| Brand#21   | MEDIUM ANODIZED COPPER    |     48 |          540 |
| Brand#24   | STANDARD BRUSHED BRASS    |     32 |          540 |
| Brand#34   | MEDIUM ANODIZED COPPER    |     33 |          540 |
| Brand#34   | SMALL POLISHED TIN        |     18 |          540 |
| Brand#41   | SMALL BURNISHED NICKEL    |     32 |          540 |
| Brand#42   | LARGE BRUSHED NICKEL      |      9 |          540 |
| Brand#42   | SMALL ANODIZED COPPER     |     29 |          540 |
| Brand#42   | SMALL BRUSHED TIN         |     46 |          540 |
| Brand#43   | PROMO BRUSHED STEEL       |     29 |          540 |
| Brand#51   | LARGE PLATED TIN          |     46 |          540 |
| Brand#54   | PROMO ANODIZED STEEL      |     43 |          540 |
| Brand#23   | MEDIUM PLATED STEEL       |     18 |          539 |
| Brand#23   | SMALL ANODIZED NICKEL     |     29 |          539 |
| Brand#25   | LARGE BURNISHED BRASS     |     46 |          539 |
| Brand#32   | ECONOMY POLISHED BRASS    |     32 |          539 |
| Brand#32   | LARGE BRUSHED COPPER      |     18 |          539 |
| Brand#32   | MEDIUM BRUSHED BRASS      |     32 |          539 |
| Brand#43   | PROMO PLATED BRASS        |      9 |          539 |
| Brand#12   | SMALL BRUSHED NICKEL      |     48 |          538 |
| Brand#11   | LARGE PLATED STEEL        |     46 |          536 |
| Brand#13   | MEDIUM PLATED NICKEL      |     32 |          536 |
| Brand#13   | STANDARD ANODIZED COPPER  |     18 |          536 |
| Brand#14   | LARGE BRUSHED TIN         |     18 |          536 |
| Brand#15   | ECONOMY ANODIZED BRASS    |     29 |          536 |
| Brand#15   | MEDIUM ANODIZED STEEL     |     43 |          536 |
| Brand#15   | SMALL BURNISHED TIN       |     18 |          536 |
| Brand#22   | SMALL BRUSHED STEEL       |     48 |          536 |
| Brand#23   | MEDIUM ANODIZED BRASS     |      9 |          536 |
| Brand#24   | LARGE ANODIZED TIN        |     32 |          536 |
| Brand#25   | MEDIUM BURNISHED STEEL    |      9 |          536 |
| Brand#25   | MEDIUM PLATED NICKEL      |      9 |          536 |
| Brand#25   | MEDIUM POLISHED STEEL     |     32 |          536 |
| Brand#32   | ECONOMY POLISHED NICKEL   |     18 |          536 |
| Brand#34   | ECONOMY PLATED BRASS      |     48 |          536 |
| Brand#35   | ECONOMY BRUSHED NICKEL    |     43 |          536 |
| Brand#35   | MEDIUM BURNISHED BRASS    |     33 |          536 |
| Brand#42   | PROMO BRUSHED TIN         |     43 |          536 |
| Brand#42   | STANDARD BURNISHED TIN    |     29 |          536 |
| Brand#43   | PROMO PLATED NICKEL       |     33 |          536 |
| Brand#44   | MEDIUM BURNISHED NICKEL   |     33 |          536 |
| Brand#44   | MEDIUM PLATED TIN         |     33 |          536 |
| Brand#44   | PROMO POLISHED TIN        |     48 |          536 |
| Brand#44   | STANDARD BRUSHED STEEL    |     32 |          536 |
| Brand#45   | MEDIUM BRUSHED NICKEL     |     29 |          536 |
| Brand#45   | STANDARD BURNISHED COPPER |      9 |          536 |
| Brand#51   | STANDARD POLISHED TIN     |      9 |          536 |
| Brand#52   | ECONOMY BRUSHED BRASS     |     46 |          536 |
| Brand#53   | PROMO BRUSHED COPPER      |     43 |          536 |
| Brand#54   | PROMO ANODIZED NICKEL     |      9 |          536 |
| Brand#55   | PROMO BRUSHED STEEL       |      9 |          536 |
| Brand#15   | SMALL BRUSHED STEEL       |     29 |          535 |
| Brand#22   | LARGE BURNISHED COPPER    |     29 |          535 |
| Brand#24   | PROMO PLATED NICKEL       |      9 |          535 |
| Brand#32   | ECONOMY BRUSHED NICKEL    |     46 |          535 |
| Brand#35   | PROMO ANODIZED COPPER     |     46 |          535 |
| Brand#35   | STANDARD BURNISHED STEEL  |     48 |          535 |
| Brand#42   | PROMO POLISHED COPPER     |     43 |          535 |
| Brand#45   | ECONOMY PLATED TIN        |      9 |          535 |
| Brand#55   | SMALL PLATED TIN          |     48 |          535 |
| Brand#55   | STANDARD BRUSHED STEEL    |     46 |          535 |
| Brand#32   | LARGE PLATED BRASS        |      9 |          534 |
| Brand#11   | ECONOMY PLATED TIN        |     32 |          532 |
| Brand#11   | SMALL PLATED COPPER       |     46 |          532 |
| Brand#14   | ECONOMY PLATED TIN        |     29 |          532 |
| Brand#14   | LARGE ANODIZED NICKEL     |      9 |          532 |
| Brand#15   | MEDIUM POLISHED TIN       |      9 |          532 |
| Brand#15   | PROMO POLISHED NICKEL     |     48 |          532 |
| Brand#21   | ECONOMY BURNISHED NICKEL  |      9 |          532 |
| Brand#21   | ECONOMY POLISHED BRASS    |     29 |          532 |
| Brand#21   | PROMO POLISHED NICKEL     |     48 |          532 |
| Brand#22   | SMALL ANODIZED NICKEL     |     48 |          532 |
| Brand#22   | STANDARD PLATED STEEL     |     33 |          532 |
| Brand#23   | ECONOMY PLATED TIN        |     33 |          532 |
| Brand#24   | SMALL POLISHED NICKEL     |     46 |          532 |
| Brand#25   | PROMO BURNISHED STEEL     |     29 |          532 |
| Brand#32   | MEDIUM BRUSHED STEEL      |     46 |          532 |
| Brand#35   | ECONOMY PLATED TIN        |     43 |          532 |
| Brand#35   | MEDIUM ANODIZED COPPER    |     48 |          532 |
| Brand#35   | STANDARD BURNISHED STEEL  |     43 |          532 |
| Brand#41   | MEDIUM BURNISHED NICKEL   |     48 |          532 |
| Brand#41   | STANDARD BRUSHED NICKEL   |     48 |          532 |
| Brand#42   | ECONOMY BRUSHED TIN       |     33 |          532 |
| Brand#42   | LARGE ANODIZED STEEL      |     29 |          532 |
| Brand#42   | STANDARD POLISHED NICKEL  |      9 |          532 |
| Brand#43   | MEDIUM PLATED BRASS       |     33 |          532 |
| Brand#43   | PROMO PLATED COPPER       |      9 |          532 |
| Brand#43   | SMALL POLISHED BRASS      |     29 |          532 |
| Brand#44   | STANDARD ANODIZED COPPER  |     48 |          532 |
| Brand#45   | LARGE PLATED BRASS        |     43 |          532 |
| Brand#45   | MEDIUM BURNISHED COPPER   |      9 |          532 |
| Brand#45   | MEDIUM BURNISHED TIN      |     48 |          532 |
| Brand#45   | MEDIUM POLISHED COPPER    |     33 |          532 |
| Brand#51   | SMALL POLISHED TIN        |     33 |          532 |
| Brand#52   | MEDIUM PLATED COPPER      |      9 |          532 |
| Brand#53   | MEDIUM BRUSHED STEEL      |     46 |          532 |
| Brand#54   | LARGE PLATED TIN          |     29 |          532 |
| Brand#11   | MEDIUM BURNISHED NICKEL   |     48 |          531 |
| Brand#13   | SMALL BURNISHED BRASS     |     48 |          531 |
| Brand#13   | SMALL PLATED BRASS        |     48 |          531 |
| Brand#14   | ECONOMY POLISHED BRASS    |     33 |          531 |
| Brand#22   | STANDARD BURNISHED NICKEL |     48 |          531 |
| Brand#24   | SMALL ANODIZED COPPER     |     18 |          531 |
| Brand#24   | STANDARD ANODIZED BRASS   |      9 |          531 |
| Brand#25   | ECONOMY ANODIZED NICKEL   |     33 |          531 |
| Brand#34   | MEDIUM PLATED TIN         |     46 |          531 |
| Brand#43   | ECONOMY BURNISHED STEEL   |     29 |          531 |
| Brand#52   | STANDARD POLISHED COPPER  |     32 |          531 |
| Brand#53   | MEDIUM BRUSHED COPPER     |     18 |          531 |
| Brand#53   | STANDARD PLATED TIN       |      9 |          531 |
| Brand#55   | LARGE PLATED BRASS        |     18 |          531 |
| Brand#13   | ECONOMY BRUSHED TIN       |     18 |          530 |
| Brand#14   | SMALL BRUSHED NICKEL      |      9 |          530 |
| Brand#33   | ECONOMY ANODIZED NICKEL   |     32 |          530 |
| Brand#51   | ECONOMY ANODIZED STEEL    |      9 |          530 |
| Brand#15   | PROMO BURNISHED STEEL     |     32 |          528 |
| Brand#15   | PROMO PLATED STEEL        |      9 |          528 |
| Brand#15   | SMALL ANODIZED COPPER     |     46 |          528 |
| Brand#15   | STANDARD ANODIZED COPPER  |     32 |          528 |
| Brand#21   | ECONOMY BURNISHED BRASS   |     48 |          528 |
| Brand#21   | MEDIUM POLISHED STEEL     |     46 |          528 |
| Brand#21   | STANDARD PLATED BRASS     |      9 |          528 |
| Brand#22   | ECONOMY ANODIZED TIN      |     43 |          528 |
| Brand#23   | MEDIUM BRUSHED TIN        |     48 |          528 |
| Brand#23   | SMALL ANODIZED STEEL      |      9 |          528 |
| Brand#24   | MEDIUM ANODIZED BRASS     |     48 |          528 |
| Brand#24   | SMALL BURNISHED BRASS     |     29 |          528 |
| Brand#25   | LARGE BURNISHED COPPER    |     18 |          528 |
| Brand#25   | MEDIUM BURNISHED BRASS    |     33 |          528 |
| Brand#32   | ECONOMY PLATED BRASS      |     29 |          528 |
| Brand#32   | ECONOMY POLISHED NICKEL   |     32 |          528 |
| Brand#32   | MEDIUM BRUSHED BRASS      |     29 |          528 |
| Brand#33   | ECONOMY BURNISHED COPPER  |     48 |          528 |
| Brand#33   | SMALL ANODIZED BRASS      |     33 |          528 |
| Brand#34   | LARGE BURNISHED NICKEL    |     48 |          528 |
| Brand#34   | LARGE PLATED TIN          |     18 |          528 |
| Brand#35   | ECONOMY ANODIZED COPPER   |      9 |          528 |
| Brand#35   | SMALL ANODIZED BRASS      |     48 |          528 |
| Brand#41   | MEDIUM POLISHED TIN       |     48 |          528 |
| Brand#41   | PROMO BRUSHED STEEL       |     18 |          528 |
| Brand#41   | SMALL BURNISHED COPPER    |     46 |          528 |
| Brand#42   | ECONOMY PLATED COPPER     |     18 |          528 |
| Brand#42   | SMALL POLISHED STEEL      |     33 |          528 |
| Brand#43   | ECONOMY PLATED TIN        |     43 |          528 |
| Brand#44   | ECONOMY BURNISHED TIN     |      9 |          528 |
| Brand#45   | MEDIUM PLATED BRASS       |     18 |          528 |
| Brand#45   | STANDARD BURNISHED BRASS  |     32 |          528 |
| Brand#51   | ECONOMY BURNISHED BRASS   |     29 |          528 |
| Brand#52   | ECONOMY BRUSHED TIN       |     32 |          528 |
| Brand#52   | PROMO BRUSHED BRASS       |     33 |          528 |
| Brand#53   | LARGE ANODIZED STEEL      |     48 |          528 |
| Brand#53   | SMALL BURNISHED STEEL     |      9 |          528 |
| Brand#53   | STANDARD POLISHED COPPER  |     46 |          528 |
| Brand#54   | LARGE BRUSHED NICKEL      |     46 |          528 |
| Brand#55   | ECONOMY POLISHED COPPER   |     33 |          528 |
| Brand#15   | LARGE BURNISHED STEEL     |     29 |          527 |
| Brand#15   | SMALL PLATED COPPER       |     46 |          527 |
| Brand#21   | LARGE ANODIZED BRASS      |     32 |          527 |
| Brand#21   | LARGE PLATED STEEL        |     48 |          527 |
| Brand#21   | PROMO POLISHED TIN        |      9 |          527 |
| Brand#23   | MEDIUM POLISHED COPPER    |     18 |          527 |
| Brand#25   | ECONOMY BURNISHED NICKEL  |     46 |          527 |
| Brand#25   | MEDIUM PLATED COPPER      |     18 |          527 |
| Brand#32   | MEDIUM ANODIZED NICKEL    |     29 |          527 |
| Brand#34   | MEDIUM POLISHED STEEL     |      9 |          527 |
| Brand#35   | ECONOMY BRUSHED TIN       |     46 |          527 |
| Brand#41   | MEDIUM PLATED BRASS       |     48 |          527 |
| Brand#43   | MEDIUM POLISHED BRASS     |     18 |          527 |
| Brand#43   | SMALL ANODIZED TIN        |     29 |          527 |
| Brand#44   | STANDARD ANODIZED COPPER  |     18 |          527 |
| Brand#51   | STANDARD POLISHED BRASS   |     46 |          527 |
| Brand#53   | LARGE ANODIZED TIN        |     29 |          527 |
| Brand#55   | ECONOMY POLISHED BRASS    |      9 |          527 |
| Brand#55   | PROMO BURNISHED TIN       |     18 |          527 |
| Brand#34   | STANDARD ANODIZED TIN     |      9 |          526 |
| Brand#11   | ECONOMY ANODIZED STEEL    |     46 |          524 |
| Brand#11   | SMALL BURNISHED NICKEL    |     43 |          524 |
| Brand#12   | ECONOMY BURNISHED STEEL   |     46 |          524 |
| Brand#13   | LARGE PLATED STEEL        |     48 |          524 |
| Brand#13   | SMALL POLISHED TIN        |     48 |          524 |
| Brand#14   | ECONOMY ANODIZED COPPER   |     46 |          524 |
| Brand#14   | LARGE BRUSHED COPPER      |      9 |          524 |
| Brand#14   | MEDIUM PLATED BRASS       |     46 |          524 |
| Brand#15   | MEDIUM PLATED BRASS       |     18 |          524 |
| Brand#15   | MEDIUM POLISHED COPPER    |     29 |          524 |
| Brand#15   | PROMO BURNISHED COPPER    |     48 |          524 |
| Brand#21   | LARGE PLATED TIN          |     18 |          524 |
| Brand#21   | PROMO POLISHED STEEL      |      9 |          524 |
| Brand#21   | SMALL ANODIZED NICKEL     |     48 |          524 |
| Brand#22   | LARGE BRUSHED NICKEL      |     33 |          524 |
| Brand#22   | PROMO POLISHED COPPER     |     18 |          524 |
| Brand#23   | LARGE ANODIZED COPPER     |     33 |          524 |
| Brand#23   | SMALL BRUSHED STEEL       |     18 |          524 |
| Brand#23   | STANDARD POLISHED COPPER  |     18 |          524 |
| Brand#24   | MEDIUM BRUSHED NICKEL     |     32 |          524 |
| Brand#24   | SMALL ANODIZED TIN        |     32 |          524 |
| Brand#25   | ECONOMY POLISHED BRASS    |     18 |          524 |
| Brand#32   | PROMO BRUSHED NICKEL      |     33 |          524 |
| Brand#32   | STANDARD BURNISHED STEEL  |     46 |          524 |
| Brand#33   | ECONOMY BRUSHED BRASS     |     46 |          524 |
| Brand#34   | STANDARD ANODIZED STEEL   |     43 |          524 |
| Brand#34   | STANDARD POLISHED BRASS   |     46 |          524 |
| Brand#35   | SMALL BRUSHED COPPER      |      9 |          524 |
| Brand#41   | MEDIUM BRUSHED COPPER     |      9 |          524 |
| Brand#42   | PROMO POLISHED NICKEL     |     33 |          524 |
| Brand#42   | SMALL PLATED STEEL        |     29 |          524 |
| Brand#43   | SMALL POLISHED TIN        |     48 |          524 |
| Brand#44   | MEDIUM PLATED STEEL       |     46 |          524 |
| Brand#45   | STANDARD BRUSHED TIN      |     18 |          524 |
| Brand#51   | LARGE PLATED NICKEL       |     29 |          524 |
| Brand#53   | LARGE ANODIZED STEEL      |     18 |          524 |
| Brand#53   | LARGE BURNISHED STEEL     |     46 |          524 |
| Brand#53   | MEDIUM BURNISHED TIN      |      9 |          524 |
| Brand#53   | STANDARD PLATED STEEL     |     46 |          524 |
| Brand#54   | MEDIUM POLISHED BRASS     |     43 |          524 |
| Brand#54   | PROMO PLATED BRASS        |     18 |          524 |
| Brand#11   | MEDIUM BURNISHED TIN      |     29 |          523 |
| Brand#12   | PROMO ANODIZED STEEL      |     48 |          523 |
| Brand#12   | PROMO POLISHED COPPER     |     33 |          523 |
| Brand#14   | SMALL ANODIZED TIN        |     29 |          523 |
| Brand#21   | PROMO BURNISHED NICKEL    |     29 |          523 |
| Brand#22   | MEDIUM BURNISHED COPPER   |      9 |          523 |
| Brand#23   | STANDARD BRUSHED TIN      |     29 |          523 |
| Brand#23   | STANDARD POLISHED NICKEL  |      9 |          523 |
| Brand#25   | LARGE PLATED COPPER       |      9 |          523 |
| Brand#34   | STANDARD ANODIZED COPPER  |     18 |          523 |
| Brand#41   | LARGE ANODIZED STEEL      |     29 |          523 |
| Brand#44   | ECONOMY POLISHED BRASS    |     32 |          523 |
| Brand#44   | STANDARD PLATED TIN       |      9 |          523 |
| Brand#45   | MEDIUM ANODIZED STEEL     |      9 |          523 |
| Brand#51   | ECONOMY BURNISHED BRASS   |     48 |          523 |
| Brand#51   | PROMO ANODIZED STEEL      |     48 |          523 |
| Brand#53   | PROMO ANODIZED TIN        |     43 |          523 |
| Brand#54   | PROMO PLATED TIN          |     29 |          523 |
| Brand#55   | ECONOMY BURNISHED NICKEL  |     43 |          523 |
| Brand#55   | STANDARD POLISHED TIN     |     29 |          523 |
| Brand#35   | LARGE BURNISHED STEEL     |     32 |          522 |
| Brand#35   | PROMO PLATED COPPER       |     29 |          522 |
| Brand#43   | LARGE ANODIZED COPPER     |     33 |          522 |
| Brand#11   | SMALL BRUSHED STEEL       |     29 |          520 |
| Brand#12   | MEDIUM BRUSHED TIN        |     43 |          520 |
| Brand#12   | MEDIUM PLATED BRASS       |     18 |          520 |
| Brand#12   | SMALL BURNISHED COPPER    |     48 |          520 |
| Brand#12   | STANDARD BRUSHED TIN      |     43 |          520 |
| Brand#13   | ECONOMY ANODIZED TIN      |     29 |          520 |
| Brand#13   | SMALL POLISHED TIN        |     32 |          520 |
| Brand#14   | MEDIUM BRUSHED NICKEL     |     33 |          520 |
| Brand#14   | SMALL BRUSHED TIN         |      9 |          520 |
| Brand#15   | ECONOMY BRUSHED BRASS     |     48 |          520 |
| Brand#15   | MEDIUM BRUSHED COPPER     |     33 |          520 |
| Brand#15   | SMALL BURNISHED COPPER    |      9 |          520 |
| Brand#15   | STANDARD BURNISHED TIN    |     18 |          520 |
| Brand#21   | PROMO POLISHED COPPER     |     18 |          520 |
| Brand#21   | SMALL BRUSHED BRASS       |     48 |          520 |
| Brand#22   | LARGE PLATED TIN          |     33 |          520 |
| Brand#22   | PROMO PLATED STEEL        |     48 |          520 |
| Brand#22   | SMALL POLISHED BRASS      |     32 |          520 |
| Brand#23   | ECONOMY ANODIZED TIN      |     18 |          520 |
| Brand#23   | MEDIUM BRUSHED TIN        |     29 |          520 |
| Brand#23   | PROMO BRUSHED COPPER      |     48 |          520 |
| Brand#23   | PROMO BURNISHED COPPER    |     33 |          520 |
| Brand#23   | SMALL BRUSHED NICKEL      |     33 |          520 |
| Brand#23   | STANDARD BRUSHED NICKEL   |     29 |          520 |
| Brand#23   | STANDARD POLISHED BRASS   |     29 |          520 |
| Brand#24   | ECONOMY PLATED STEEL      |     32 |          520 |
| Brand#25   | STANDARD ANODIZED STEEL   |     18 |          520 |
| Brand#32   | SMALL BRUSHED COPPER      |     29 |          520 |
| Brand#33   | PROMO BRUSHED BRASS       |     29 |          520 |
| Brand#34   | ECONOMY BRUSHED NICKEL    |     46 |          520 |
| Brand#34   | LARGE ANODIZED COPPER     |      9 |          520 |
| Brand#34   | LARGE BRUSHED COPPER      |     48 |          520 |
| Brand#34   | LARGE BRUSHED STEEL       |     33 |          520 |
| Brand#34   | SMALL ANODIZED COPPER     |     18 |          520 |
| Brand#34   | STANDARD PLATED NICKEL    |     33 |          520 |
| Brand#35   | ECONOMY BURNISHED TIN     |     46 |          520 |
| Brand#35   | MEDIUM BRUSHED NICKEL     |     32 |          520 |
| Brand#35   | SMALL BURNISHED STEEL     |     46 |          520 |
| Brand#35   | STANDARD BURNISHED TIN    |     48 |          520 |
| Brand#42   | LARGE ANODIZED TIN        |     18 |          520 |
| Brand#42   | SMALL BURNISHED STEEL     |     18 |          520 |
| Brand#43   | ECONOMY ANODIZED NICKEL   |      9 |          520 |
| Brand#43   | ECONOMY BRUSHED BRASS     |     33 |          520 |
| Brand#43   | MEDIUM PLATED NICKEL      |     43 |          520 |
| Brand#43   | PROMO PLATED BRASS        |     29 |          520 |
| Brand#43   | STANDARD ANODIZED TIN     |     29 |          520 |
| Brand#43   | STANDARD PLATED STEEL     |     29 |          520 |
| Brand#44   | LARGE BURNISHED STEEL     |     32 |          520 |
| Brand#44   | MEDIUM BRUSHED TIN        |     29 |          520 |
| Brand#44   | PROMO PLATED NICKEL       |     33 |          520 |
| Brand#44   | STANDARD PLATED BRASS     |     32 |          520 |
| Brand#45   | ECONOMY PLATED TIN        |     32 |          520 |
| Brand#51   | ECONOMY POLISHED TIN      |     33 |          520 |
| Brand#52   | MEDIUM ANODIZED NICKEL    |     48 |          520 |
| Brand#52   | STANDARD ANODIZED COPPER  |     43 |          520 |
| Brand#52   | STANDARD BRUSHED BRASS    |     43 |          520 |
| Brand#52   | STANDARD BURNISHED NICKEL |      9 |          520 |
| Brand#52   | STANDARD POLISHED TIN     |     18 |          520 |
| Brand#53   | ECONOMY ANODIZED STEEL    |     29 |          520 |
| Brand#53   | ECONOMY PLATED STEEL      |     46 |          520 |
| Brand#53   | LARGE BRUSHED COPPER      |     29 |          520 |
| Brand#53   | SMALL BRUSHED COPPER      |     48 |          520 |
| Brand#54   | LARGE ANODIZED BRASS      |     18 |          520 |
| Brand#54   | SMALL POLISHED NICKEL     |     48 |          520 |
| Brand#55   | ECONOMY BRUSHED TIN       |     46 |          520 |
| Brand#55   | SMALL BRUSHED COPPER      |     48 |          520 |
| Brand#12   | SMALL ANODIZED NICKEL     |      9 |          519 |
