START TRANSACTION;
auto commit mode: off
select
	s_acctbal,
	s_name,
	n_name,
	p_partkey,
	p_mfgr,
	s_address,
	s_phone,
	s_comment
from
	part,
	supplier,
	partsupp,
	nation,
	region
where
	p_partkey = ps_partkey
	and s_suppkey = ps_suppkey
	and p_size = 5
	and p_type like '%TIN'
	and s_nationkey = n_nationkey
	and n_regionkey = r_regionkey
	and r_name = 'MIDDLE EAST'
	and ps_supplycost = (
		select
			min(ps_supplycost)
		from
			partsupp,
			supplier,
			nation,
			region
		where
			p_partkey = ps_partkey
			and s_suppkey = ps_suppkey
			and s_nationkey = n_nationkey
+-------------------+---------------------------+---------------------------+-----------+---------------------------+------------------------------------------+-----------------+----------------------------------------------------------------------------------------------------+
| s_acctbal         | s_name                    | n_name                    | p_partkey | p_mfgr                    | s_address                                | s_phone         | s_comment                                                                                          |
|           9991.00 | Supplier#000009966        | IRAN                      |  17759948 | Manufacturer#3            | f7UB YWpwxkecW40I07kFYA9Ytnwg            | 20-100-554-8091 | ts haggle quietly. quickly regular patterns cajole regular, bold pinto beans. excuses so           |
|           9990.75 | Supplier#000120905        | IRAQ                      |   4370892 | Manufacturer#2            | Ci2lY,Rycv6nkmnhlWXADFa1                 | 21-189-783-4015 | y even accounts sleep sly                                                                          |
|           9989.94 | Supplier#000068635        | IRAN                      |  16568602 | Manufacturer#2            | o1BfGLnL9cAgEYlke,tKZ056HYL0f            | 20-968-531-6322 | o beans. ironic requests cajole fluffily above                                                     |
|           9989.94 | Supplier#000068635        | IRAN                      |  19818615 | Manufacturer#1            | o1BfGLnL9cAgEYlke,tKZ056HYL0f            | 20-968-531-6322 | o beans. ironic requests cajole fluffily above                                                     |
|           9989.77 | Supplier#000303779        | SAUDI ARABIA              |   1053777 | Manufacturer#1            | fPu97dnzWa3Fw3t9N0                       | 30-502-172-2359 | . quickly regular requests wake. fi                                                                |
|           9989.60 | Supplier#000841585        | IRAQ                      |  12841584 | Manufacturer#2            | ZCf2dfy7l8Dr                             | 21-835-474-3564 | onic deposits engage never? blithely bold theodolites haggle carefu                                |
|           9989.60 | Supplier#000841585        | IRAQ                      |  19841584 | Manufacturer#1            | ZCf2dfy7l8Dr                             | 21-835-474-3564 | onic deposits engage never? blithely bold theodolites haggle carefu                                |
|           9989.10 | Supplier#000567864        | IRAN                      |   3567863 | Manufacturer#4            | bHFlzV1QYeL16Meg,O                       | 20-523-479-1630 | sly across the ruthlessly enticing deposits. silent deposits after the furiously ironic re         |
|           9989.10 | Supplier#000567864        | IRAN                      |  18817809 | Manufacturer#3            | bHFlzV1QYeL16Meg,O                       | 20-523-479-1630 | sly across the ruthlessly enticing deposits. silent deposits after the furiously ironic re         |
|           9989.03 | Supplier#000814196        | SAUDI ARABIA              |   1564194 | Manufacturer#1            | KC,WD2Qo0zsxbTVgNSpS8RH8GM0STU           | 30-332-693-9854 | counts detect boldly bold ideas. special deposits cajole                                           |
|           9989.02 | Supplier#000401151        | SAUDI ARABIA              |  18401150 | Manufacturer#4            | PUjHjOGMupLbx9xZFjEa1                    | 30-698-356-3177 | sly final packages haggle pending packages. ironic, express                                        |
|           9988.76 | Supplier#000537442        | SAUDI ARABIA              |  19287422 | Manufacturer#4            | 33ijFkstDIx                              | 30-687-151-1138 |  quickly even courts. furiously unusual gifts wake slyly. carefully regular instructions boost b   |
|           9988.54 | Supplier#000058678        | IRAN                      |   6808671 | Manufacturer#5            | a99NyaA2,tkvFZl,B38W6tLG0MgB1z7QUBT7NEs  | 20-836-702-5861 | fluffily special requests sleep fluffily. platelets                                                |
|           9988.52 | Supplier#000806235        | EGYPT                     |    806234 | Manufacturer#2            | 3XsrxPQpcLZ60m9mgyRL                     | 14-528-678-6839 | cording to the closely final accounts use blithely final accounts. final pinto beans are furiou    |
|           9988.52 | Supplier#000806235        | EGYPT                     |  14056192 | Manufacturer#5            | 3XsrxPQpcLZ60m9mgyRL                     | 14-528-678-6839 | cording to the closely final accounts use blithely final accounts. final pinto beans are furiou    |
|           9988.52 | Supplier#000806235        | EGYPT                     |  16056186 | Manufacturer#5            | 3XsrxPQpcLZ60m9mgyRL                     | 14-528-678-6839 | cording to the closely final accounts use blithely final accounts. final pinto beans are furiou    |
|           9987.97 | Supplier#000236358        | EGYPT                     |   6236357 | Manufacturer#5            | mPIJ a2a2DXuW                            | 14-405-822-7344 | nts breach furiously. ideas lose. furiously express                                                |
|           9987.96 | Supplier#000173885        | IRAN                      |  15673854 | Manufacturer#1            | iBmJS0LuLIiCcrmofsd0M                    | 20-642-804-4283 |  even ideas use carefully. furiously even theodo                                                   |
|           9986.76 | Supplier#000758645        | EGYPT                     |   8008620 | Manufacturer#2            | yZIyAts,n0RY4mstz9NE6CXFLeUYiu6          | 14-313-669-1492 | n accounts. furiously even pinto beans over the even deposits ought to detect fur                  |
|           9986.49 | Supplier#000853310        | SAUDI ARABIA              |   1853309 | Manufacturer#5            | wUdS0GYNy AGuQI,o3cS1OjeZG4TLvMNflsHo    | 30-118-974-5691 | regular requests haggle. quickly express accounts wake. slyly final account                        |
|           9986.48 | Supplier#000448295        | JORDAN                    |  14448294 | Manufacturer#1            | LBUN2H9IQ4s89 O n6qoqqiZITXjl0dgjFsrY2   | 23-680-204-7490 | lieve slyly even, ironic instructions. slyly pending deposits grow against the special ideas. furi |
|           9986.46 | Supplier#000712496        | IRAN                      |  15962450 | Manufacturer#5            | CnWixN3P MAuazV4TxkDSM8cCDKsl kQrKXxgd   | 20-808-929-3847 |  slyly pending instructions haggle.                                                                |
|           9986.45 | Supplier#000828097        | IRAQ                      |   8828096 | Manufacturer#3            | r5QWTZByMCN                              | 21-466-760-6999 | r theodolites. quickly idle acc                                                                    |
|           9986.24 | Supplier#000958514        | IRAQ                      |   7958513 | Manufacturer#2            | L0T4crf9hkKxKhyG03ox5qyZM,RGYthhM8NDCF2t | 21-916-899-1876 |  carefully silent instructions about the furio                                                     |
|           9986.20 | Supplier#000254695        | JORDAN                    |   1504691 | Manufacturer#2            | M2ov2ngVyY,2uLq,xwyJA3X                  | 23-482-198-6570 | en pinto beans boost carefully even packages. slyly unusual reque                                  |
|           9986.08 | Supplier#000960600        | IRAQ                      |  18460563 | Manufacturer#2            | aEYjgYr,wF645OY9,QRL                     | 21-186-301-9618 | pendencies alongside of the accounts play carefully dogged Tiresias. busily ironic T               |
|           9986.04 | Supplier#000841885        | IRAN                      |   1841884 | Manufacturer#5            | 7 lyKc5WcycleK                           | 20-423-375-7891 |  special deposits. carefully express frets eat regular, ironic ideas. quickly unusual excu         |
|           9985.73 | Supplier#000360786        | IRAQ                      |   3110782 | Manufacturer#4            | qIIqszVGpGMfpr                           | 21-290-960-7903 | ly around the furiously blithe pinto beans. warhorses x-ray. blithely even deposi                  |
|           9985.22 | Supplier#000401080        | JORDAN                    |   4401079 | Manufacturer#1            | HUSL7sucDOHMc 0Gnanyqwd LTDRm            | 23-455-734-6240 | hogs sleep blithely final, regular packages. regular requests are b                                |
|           9985.03 | Supplier#000348362        | JORDAN                    |  10348361 | Manufacturer#5            | 28ezV3VuiSFkrNm3dcAkLQP                  | 23-521-607-3177 | blithely boldly even packages. carefully thin requests haggle. foxes cajole                        |
|           9984.92 | Supplier#000504351        | IRAQ                      |   4004342 | Manufacturer#2            | LTJvVFRRhzGkasBMOUqILy8                  | 21-619-265-5879 | y among the furiously final packages. quickly silent foxe                                          |
|           9984.81 | Supplier#000721015        | SAUDI ARABIA              |   5471009 | Manufacturer#3            | VY8JaKpQPqoUSO                           | 30-851-177-9139 |  foxes. final, express deposits are. pending                                                       |
|           9984.80 | Supplier#000796674        | IRAN                      |  19296635 | Manufacturer#2            | QbLfisILRBbtEMRNwGYCaUHIR3ulDr           | 20-186-363-2444 | uests sleep quickly blithe ideas. carefully even ideas haggle slyly. f                             |
|           9984.80 | Supplier#000796674        | IRAN                      |  19796673 | Manufacturer#1            | QbLfisILRBbtEMRNwGYCaUHIR3ulDr           | 20-186-363-2444 | uests sleep quickly blithe ideas. carefully even ideas haggle slyly. f                             |
|           9984.58 | Supplier#000336308        | IRAQ                      |   1086306 | Manufacturer#3            | IqB9tXnI74rfA                            | 21-625-425-5142 | nic, regular packages. ideas sleep carefully. ev                                                   |
|           9984.31 | Supplier#000941720        | EGYPT                     |   9691710 | Manufacturer#1            | BlZ8wOHnFkbHOQ2f,ip0FUp9OWBMLFp zOJFVB1A | 14-901-821-1543 | anently ironic foxes. slyly bold deposits by the ideas                                             |
|           9984.14 | Supplier#000612215        | IRAN                      |  12112190 | Manufacturer#2            | Q iiGwH2cgrANna8                         | 20-659-726-5688 | yly express accounts. enticing                                                                     |
|           9983.88 | Supplier#000176742        | JORDAN                    |  11926730 | Manufacturer#2            | ,6KQEXsiBu                               | 23-440-269-1445 | as hinder furiously fluffily pending requests. theodolites use clos                                |
|           9983.88 | Supplier#000719813        | JORDAN                    |  16469796 | Manufacturer#4            | T1Mv8Yzv4eK1pX                           | 23-250-261-6902 | theodolites haggle furiously. blithely bold requests cajole blithely; slyly enticing instr         |
|           9983.79 | Supplier#000712006        | SAUDI ARABIA              |  14211977 | Manufacturer#4            | NaLJ5DlrGT4E9okEXVbi0l9ATvw              | 30-416-781-8539 | eposits. quickly ironic warhorses cajole slyly fluffily                                            |
|           9983.30 | Supplier#000858734        | IRAQ                      |   7358719 | Manufacturer#2            | pUIFpB5UVwqZFA9WFBT3lIdO56GR             | 21-602-972-2830 | eodolites mold closely-- carefully ironic pa                                                       |
|           9982.56 | Supplier#000953293        | IRAN                      |  15203247 | Manufacturer#4            | UhF7ZA8ZKdt5YAL4zyc,OIA4RqkrcKolbqD      | 20-922-741-9388 | le carefully accounts. regular d                                                                   |
|           9982.33 | Supplier#000252882        | IRAN                      |  14752853 | Manufacturer#4            | FIFKMnjWUsJMl4L                          | 20-975-879-6043 | e quietly regular ideas cajole across the blithely re                                              |
|           9981.49 | Supplier#000269737        | SAUDI ARABIA              |  14519694 | Manufacturer#2            | eyYoazsz7x,GsI6 Pu895BUli5aW7            | 30-631-599-1217 | eodolites at the even, ironic realms haggle blithely across the q                                  |
|           9981.24 | Supplier#000157696        | SAUDI ARABIA              |   5407680 | Manufacturer#2            | b0qADGoyfSXJ                             | 30-978-562-7044 | inal instructions shall have to hinder slyly. slyly special packages br                            |
|           9980.62 | Supplier#000233417        | EGYPT                     |   9483389 | Manufacturer#2            | KH0d1PExN,YiEzImGKMGDMsvkPyDY            | 14-731-977-3734 | ly ironic accounts integrate alo                                                                   |
|           9980.26 | Supplier#000753465        | IRAQ                      |  13753464 | Manufacturer#4            | I60GfZHsDAHn 9xy 7JnN                    | 21-345-466-9277 | press pinto beans. slyly regular accounts affix deposits. quietly regular excuses haggle fur       |
|           9980.26 | Supplier#000753465        | IRAQ                      |  19503445 | Manufacturer#1            | I60GfZHsDAHn 9xy 7JnN                    | 21-345-466-9277 | press pinto beans. slyly regular accounts affix deposits. quietly regular excuses haggle fur       |
|           9980.12 | Supplier#000754670        | JORDAN                    |   7504662 | Manufacturer#2            | 3uvCmDd8UsnWLruScMdd2k Oq                | 23-817-948-6130 | thely at the furiously silent pinto beans. final packa                                             |
|           9980.12 | Supplier#000754670        | JORDAN                    |   8004645 | Manufacturer#2            | 3uvCmDd8UsnWLruScMdd2k Oq                | 23-817-948-6130 | thely at the furiously silent pinto beans. final packa                                             |
|           9979.84 | Supplier#000797757        | IRAN                      |  12047720 | Manufacturer#5            | 8N0u,veEvynNp3 HXRDUuRTQoEH  Kix6xI4od   | 20-461-126-1885 | ng foxes. accounts are fu                                                                          |
|           9979.73 | Supplier#000398261        | SAUDI ARABIA              |  19398260 | Manufacturer#1            | Qfq5lYbKK,nXEghQoBRHJr,qR5R58F           | 30-501-762-4854 | grouches nod carefully fluffily pending notornis. carefully regular instructions breach against    |
|           9979.72 | Supplier#000219582        | IRAN                      |   7969574 | Manufacturer#3            | 8OFx eZkJ5Gjr59zg96LqOlE                 | 20-384-302-3430 | le. carefully final platele                                                                        |
|           9979.69 | Supplier#000326856        | IRAN                      |  15826825 | Manufacturer#3            | eAEysvOElf4Jdl,MnU5sdWetg5JpVHUWi        | 20-644-614-1124 | ts. instructions are even foxes; blithely ironic packages affix.                                   |
|           9979.67 | Supplier#000730777        | IRAQ                      |   2230772 | Manufacturer#4            | tIemj4,0MNjo                             | 21-496-200-7979 | ickly express asymptotes use fl                                                                    |
|           9979.66 | Supplier#000751218        | SAUDI ARABIA              |  14751217 | Manufacturer#2            | 2vQ2GfrCGQGCuZgKH2r7ARKxeL5yt            | 30-779-723-5714 | blithely close theodolites. slyly even requests boost slyly against the slyly bold accounts. care  |
|           9979.26 | Supplier#000045297        | IRAN                      |  11295263 | Manufacturer#2            | heS19iu,c8wmCLbl24J                      | 20-538-649-3396 | r accounts. deposits play. slyly final requests haggle final instructions. slyly s                 |
|           9978.92 | Supplier#000403019        | JORDAN                    |  16902986 | Manufacturer#2            | rEHvF22K5FiJY18R21TW9C                   | 23-732-971-7252 | fully over the quickly unusual dolphins. blithely bold theodolites wake. furiously                 |
|           9978.49 | Supplier#000744141        | IRAQ                      |   1744140 | Manufacturer#4            |  sTVPVniYiXz2 sSoFsXfcB,aqal6            | 21-368-942-5882 | ironic courts. furious pearls nag. ironic requests cajole after the bold,                          |
|           9978.38 | Supplier#000335237        | EGYPT                     |  12335236 | Manufacturer#4            | UOEtv,VTe sY                             | 14-440-277-4745 | nt accounts wake fluffily final foxes. carefully even                                              |
|           9978.09 | Supplier#000597972        | SAUDI ARABIA              |   4347967 | Manufacturer#2            | KKJCdiTS XYSseSTuC0                      | 30-833-577-7646 | le quickly along the fina                                                                          |
|           9978.09 | Supplier#000597972        | SAUDI ARABIA              |   6347965 | Manufacturer#5            | KKJCdiTS XYSseSTuC0                      | 30-833-577-7646 | le quickly along the fina                                                                          |
+-------------------+---------------------------+---------------------------+-----------+---------------------------+------------------------------------------+-----------------+----------------------------------------------------------------------------------------------------+
100 tuples
COMMIT;
auto commit mode: on
